C1-6408,1,1766422006408
C1-8919,1,1766422008919
C1-6429,1,1766422016429
C1-8931,1,1766422018931
C1-3937,1,1766422023937
C1-8941,1,1766422028941
C1-1452,1,1766422041452
C1-8960,1,1766422048960
C1-1463,1,1766422051463
C1-3966,1,1766422053966
C1-8972,1,1766422058972
C1-1476,1,1766422061476
C1-6480,1,1766422066480
C1-3986,1,1766422073986
C1-1493,1,1766422081493
C3-1493,3,1766422081493
C1-3995,1,1766422083995
C1-6497,1,1766422086497
C3-6497,3,1766422086497
C1-8999,1,1766422088999
C3-8999,3,1766422088999
C1-1501,1,1766422091501
C1-4011,1,1766422104011
C1-9014,1,1766422109014
